run_name,ratios,factors,nw_thesis,nw_proposed,reduction,multi_depth,n_weight_types,same_tree_mult,cross_tree_mult,improved,status_thesis,status_proposed
run_101,"[56, 7, 9];[12, 49, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_102,"[42, 1, 29];[14, 7, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_103,"[37, 27, 8];[52, 19, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_104,"[12, 29, 31];[15, 37, 20]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_105,"[7, 46, 19];[25, 42, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_106,"[7, 50, 15];[27, 8, 37]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_107,"[21, 10, 41];[40, 31, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_108,"[12, 17, 43];[35, 31, 6]","[4, 3, 3, 2];[4, 3, 3, 2]",2,3,-1,0,2,4,4,0,OPTIMAL,FEASIBLE
run_109,"[32, 29, 11];[59, 12, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_110,"[25, 41, 6];[44, 21, 7]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_111,"[37, 2, 33];[20, 43, 9]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_112,"[43, 2, 27];[70, 1, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",5,5,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_113,"[25, 17, 30];[31, 19, 22]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,FEASIBLE
run_114,"[6, 35, 31];[49, 12, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,FEASIBLE
run_115,"[5, 59, 8];[17, 48, 7]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,5,0,OPTIMAL,OPTIMAL
run_116,"[13, 44, 15];[59, 9, 4]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,4,5,0,OPTIMAL,FEASIBLE
run_117,"[20, 33, 19];[10, 51, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_118,"[11, 40, 21];[43, 26, 3]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_119,"[63, 7, 2];[5, 4, 63]","[4, 3, 3, 2];[4, 3, 3, 2]",6,6,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_120,"[13, 43, 16];[13, 44, 15]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,4,4,0,OPTIMAL,FEASIBLE
run_121,"[19, 13, 40];[53, 15, 4]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_122,"[11, 12, 49];[31, 18, 23]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_123,"[33, 26, 13];[2, 31, 39]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_124,"[21, 49, 2];[10, 47, 15]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_125,"[33, 22, 17];[39, 20, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_126,"[31, 18, 23];[3, 35, 34]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_127,"[2, 5, 65];[37, 27, 8]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_128,"[25, 4, 43];[6, 7, 59]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_129,"[5, 42, 25];[12, 5, 55]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_130,"[23, 31, 18];[17, 9, 46]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_131,"[22, 11, 39];[15, 29, 28]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_132,"[19, 10, 43];[47, 4, 21]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_133,"[16, 53, 3];[48, 11, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_134,"[30, 31, 11];[9, 20, 43]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_135,"[15, 38, 19];[5, 34, 33]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_136,"[13, 18, 41];[50, 9, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_137,"[13, 50, 9];[36, 17, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,FEASIBLE
run_138,"[28, 29, 15];[31, 26, 15]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,FEASIBLE,FEASIBLE
run_139,"[16, 9, 47];[12, 47, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_140,"[7, 36, 29];[17, 15, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_141,"[27, 44, 1];[19, 24, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_142,"[17, 2, 53];[33, 37, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_143,"[4, 13, 55];[31, 11, 30]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_144,"[7, 27, 38];[17, 37, 18]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_145,"[58, 3, 11];[47, 19, 6]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_146,"[29, 36, 7];[6, 61, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_147,"[14, 41, 17];[10, 1, 61]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_148,"[9, 8, 55];[36, 35, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_149,"[59, 6, 7];[13, 43, 16]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_150,"[30, 23, 19];[44, 15, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,FEASIBLE
run_151,"[13, 28, 31];[41, 14, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_152,"[20, 41, 11];[11, 1, 60]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_153,"[17, 31, 24];[8, 35, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_154,"[46, 9, 17];[7, 30, 35]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_155,"[14, 51, 7];[29, 33, 10]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,6,6,0,OPTIMAL,OPTIMAL
run_156,"[29, 7, 36];[4, 51, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_157,"[24, 11, 37];[1, 44, 27]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_158,"[9, 43, 20];[4, 15, 53]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_159,"[49, 5, 18];[44, 15, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_160,"[7, 4, 61];[20, 1, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_161,"[35, 22, 15];[55, 8, 9]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_162,"[28, 7, 37];[45, 11, 16]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_163,"[63, 5, 4];[29, 22, 21]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_164,"[33, 5, 34];[1, 63, 8]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_165,"[17, 32, 23];[46, 19, 7]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_166,"[3, 56, 13];[10, 31, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_167,"[15, 37, 20];[22, 37, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_168,"[11, 40, 21];[29, 14, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",2,1,1,0,2,6,6,1,OPTIMAL,FEASIBLE
run_169,"[25, 20, 27];[19, 26, 27]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,2,2,0,OPTIMAL,OPTIMAL
